pair,count,avg_loss_ratio,avg_stability_score
input -> add,516,0.01293284795201992,0.9031007751937985
linear_proj_down -> bottleneck_proj,161,0.013280719141947705,0.8757763975155279
bottleneck_proj -> linear_proj_up,160,0.01328339456098128,0.875
add -> add,71,0.01221436645821121,0.8732394366197183
input -> linear_proj_down,67,0.013194879317765302,0.9253731343283582
linear_proj_up -> add,60,0.013164334767482692,0.8833333333333333
split2 -> concat,56,0.013979275181663017,0.9642857142857143
input -> split2,53,0.013353004023978555,0.8679245283018868
linear_proj -> add,49,0.01242213915022688,0.8367346938775511
ternary_projection -> add,34,0.012233611331193026,0.9117647058823529
spike_rate_code -> concat,34,0.01305987657178185,0.9117647058823529
input -> tropical_matmul,32,0.013770861366979217,0.9375
split2 -> spike_rate_code,32,0.013038501178422264,0.90625
input -> linear_proj,31,0.011904647821722155,0.8709677419354839
input -> low_rank_proj,27,0.013962156158286797,1.0
split2 -> gelu,27,0.01316774665078573,0.7777777777777778
gelu -> concat,27,0.013087381064130845,0.7777777777777778
input -> lif_neuron,27,0.012780630808412977,0.7407407407407407
rwkv_channel -> add,26,0.010550167093575414,0.7307692307692307
block_sparse_linear -> add,26,0.012755844770991231,0.9615384615384616
input -> tropical_add,24,0.013046565392871266,0.9166666666666666
input -> geometric_product,24,0.012302317015954902,0.875
concat -> linear_proj,24,0.013259609854119662,0.875
input -> bottleneck_proj,23,0.01337706127394146,1.0
semi_structured_2_4_linear -> add,22,0.012606476760803113,0.9545454545454546
input -> grade_mix,22,0.01261387804487889,0.7727272727272727
swiglu_mlp -> add,20,0.01088939205623633,0.75
input -> shared_basis_proj,20,0.013532771370567534,0.95
input -> block_sparse_linear,19,0.013271347498533054,0.8421052631578947
tied_proj -> add,19,0.013055177123495234,0.8947368421052632
split2 -> silu,19,0.01428625694019538,1.0
silu -> concat,19,0.01428625694019538,1.0
latent_attention_compressor -> add,18,0.013567974195387154,0.9444444444444444
input -> tropical_moe,18,0.013174987890840565,1.0
input -> padic_gate,18,0.012549218089574174,0.8333333333333334
input -> progressive_compression_gate,18,0.013737212952169366,1.0
split2 -> tanh,18,0.01434571150713186,0.8888888888888888
tanh -> concat,18,0.01434571150713186,0.8888888888888888
padic_gate -> concat,18,0.013511515873335758,0.8888888888888888
learnable_scale -> concat,18,0.013246700568848545,0.8888888888888888
bottleneck_proj -> add,17,0.01327293176865532,0.8823529411764706
input -> rmsnorm,17,0.011873429992551669,0.8235294117647058
concat -> add,17,0.013481318122000605,0.8823529411764706
gelu -> linear_proj_down,17,0.011769107517688157,0.8235294117647058
split2 -> padic_gate,17,0.01363355576917315,0.8823529411764706
topk_gate -> add,17,0.013580733788524188,0.9411764705882353
low_rank_proj -> add,16,0.014320768125693703,1.0
input -> rwkv_channel,16,0.010901702098760312,0.8125
input -> moe_2expert,16,0.013038985262563797,1.0
