         6048547 function calls (6048529 primitive calls) in 3.290 seconds

   Ordered by: cumulative time
   List reduced from 346 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.072    0.036    2.322    1.161 notebook_dashboard.py:34(get_dashboard_summary)
        1    0.000    0.000    2.286    2.286 <stdin>:20(task_dashboard_full)
       27    0.005    0.000    1.558    0.058 native_conn.py:165(execute)
       27    1.554    0.058    1.554    0.058 {method 'fetchall' of 'builtins.ConnectionManager' objects}
        1    0.000    0.000    1.149    1.149 notebook_observability.py:93(get_template_slot_observability)
        1    0.000    0.000    1.031    1.031 notebook_dashboard.py:262(get_data_accounting_summary)
        1    0.389    0.389    0.924    0.924 notebook_observability.py:300(_accumulate_observability_stats)
        1    0.006    0.006    0.402    0.402 <stdin>:15(task_leaderboard_full)
        1    0.037    0.037    0.395    0.395 notebook_leaderboard.py:545(get_leaderboard)
        1    0.000    0.000    0.357    0.357 <stdin>:45(task_clusters)
        1    0.006    0.006    0.356    0.356 _exp_clustering.py:237(experiment_clusters)
  1528675    0.238    0.000    0.305    0.000 native_conn.py:62(__getitem__)
        1    0.057    0.057    0.171    0.171 notebook_programs.py:1412(_attach_canonical_program_scores)
        1    0.001    0.001    0.149    0.149 _exp_clustering.py:404(_enrich_trajectory_data)
        1    0.000    0.000    0.120    0.120 _exp_clustering.py:420(_run_model_selection)
    54137    0.103    0.000    0.105    0.000 notebook_observability.py:334(<genexpr>)
        1    0.008    0.008    0.101    0.101 _exp_clustering.py:182(_compute_trajectory_features)
        1    0.014    0.014    0.092    0.092 <stdin>:50(task_rescore_compute)
       16    0.072    0.004    0.084    0.005 _exp_clustering.py:52(_vectorized_silhouette)
        1    0.005    0.005    0.076    0.076 <stdin>:35(task_frontier)
  1647612    0.073    0.000    0.073    0.000 {built-in method builtins.isinstance}
        1    0.017    0.017    0.070    0.070 analytics_ops.py:84(get_efficiency_frontier)
       16    0.007    0.000    0.068    0.004 native_conn.py:125(fetchall)
    54441    0.009    0.000    0.068    0.000 json_utils.py:148(fast_loads)
    51378    0.059    0.000    0.062    0.000 native_conn.py:58(__init__)
   623471    0.059    0.000    0.059    0.000 {method 'get' of 'dict' objects}
    54441    0.059    0.000    0.059    0.000 {orjson.loads}
        1    0.004    0.004    0.054    0.054 notebook_observability.py:570(_assemble_observability_result)
    10264    0.018    0.000    0.049    0.000 _methods.py:119(_mean)
