arch,n_params,n_train_steps,auc,acc_4,acc_8,acc_16,acc_32,first_loss,last_loss,status,elapsed_s
attn_1l,210336,200,0.0016,0.0006,0.0006,0.003,0.0023,64.1763,11.0271,ok,0.26
attn_1l,210336,400,0.0028,0.0056,0.0019,0.0014,0.0023,63.1234,8.0551,ok,0.5
attn_1l,210336,800,0.0025,0.0041,0.0013,0.0032,0.0015,66.7253,6.6491,ok,1.01
attn_1l,210336,1600,0.8271,0.9481,0.9275,0.8452,0.5877,65.3942,2.5607,ok,2.07
attn_2l,322176,200,0.0024,0.001,0.0033,0.0029,0.0025,66.6694,10.0732,ok,0.37
attn_2l,322176,400,0.0022,0.0051,0.0012,0.002,0.0006,63.7177,7.6869,ok,0.72
attn_2l,322176,800,0.0074,0.0147,0.0075,0.0045,0.0029,66.9073,6.7098,ok,1.38
attn_2l,322176,1600,0.0262,0.0552,0.0257,0.0148,0.009,66.4475,6.4878,ok,2.81
attn_4l,545856,200,0.002,0.0006,0.0039,0.0022,0.0014,64.5307,9.8543,ok,0.62
attn_4l,545856,400,0.0019,0.0027,0.0022,0.0013,0.0014,62.0657,7.6046,ok,1.21
attn_4l,545856,800,0.0445,0.0981,0.0411,0.0232,0.0157,64.0159,6.1547,ok,2.33
attn_4l,545856,1600,0.9757,0.9903,0.9883,0.98,0.9443,61.3217,0.2119,ok,4.63
conv3_2l,253632,200,0.002,0.0,0.0025,0.0044,0.0009,82.079,10.5486,ok,0.22
conv3_2l,253632,400,0.002,0.0,0.0025,0.0037,0.0016,82.9798,7.7989,ok,0.42
conv3_2l,253632,800,0.0017,0.0,0.0013,0.0037,0.0019,82.6353,6.5158,ok,0.84
conv3_2l,253632,1600,0.0018,0.0,0.0025,0.0013,0.0034,85.058,6.275,ok,1.7
conv7_2l,327360,200,0.0037,0.0048,0.0051,0.0031,0.0016,83.4054,9.9551,ok,0.24
conv7_2l,327360,400,0.0082,0.0194,0.0073,0.0031,0.0028,85.3406,7.5963,ok,0.45
conv7_2l,327360,800,0.0799,0.2823,0.0352,0.0006,0.0013,82.5659,6.6057,ok,0.87
conv7_2l,327360,1600,0.3983,0.9782,0.6113,0.0019,0.0019,85.5495,7.0211,ok,1.81
conv7_4l,605376,200,0.0118,0.0332,0.0103,0.0019,0.0016,70.5058,9.7247,ok,0.34
conv7_4l,605376,400,0.1786,0.5152,0.1917,0.005,0.0025,72.7308,8.3346,ok,0.67
conv7_4l,605376,800,0.4325,0.9502,0.76,0.0182,0.0016,75.348,8.2328,ok,1.32
conv7_4l,605376,1600,0.6396,0.9958,0.9765,0.5852,0.0009,70.4722,10.4132,ok,2.62
ssm_2l,74720,200,0.0013,0.0,0.0013,0.0013,0.0025,87.0043,27.7499,ok,10.68
ssm_2l,74720,400,0.0008,0.0,0.0,0.0025,0.0006,86.011,21.8135,ok,21.09
ssm_2l,74720,800,0.0014,0.0025,0.0013,0.0013,0.0006,88.1817,16.878,ok,41.63
ssm_2l,74720,1600,0.002,0.0,0.0037,0.0037,0.0006,83.0078,11.5142,ok,83.48
ssm_4l,100096,200,0.0019,0.0025,0.0013,0.0025,0.0013,85.3665,29.2632,ok,22.35
ssm_4l,100096,400,0.0025,0.0025,0.0013,0.0037,0.0025,85.6222,23.5352,ok,44.38
ssm_4l,100096,800,0.0027,0.0025,0.005,0.0019,0.0016,84.5044,17.4578,ok,88.3
ssm_4l,100096,1600,0.0021,0.0,0.0,0.0056,0.0028,83.5007,11.1604,ok,171.78
rwkv_2l,272448,200,0.0029,0.0025,0.0075,0.0013,0.0003,90.6404,10.4749,ok,7.93
rwkv_2l,272448,400,0.0028,0.0025,0.0025,0.0044,0.0019,91.6959,7.5105,ok,15.54
rwkv_2l,272448,800,0.0017,0.0,0.0013,0.0031,0.0025,88.5539,6.4039,ok,31.0
rwkv_2l,272448,1600,0.0022,0.0025,0.005,0.0006,0.0009,90.3155,6.2607,ok,61.7
hybrid_2l,331104,200,0.0011,0.0013,0.0009,0.0009,0.0014,63.0644,9.8787,ok,0.31
hybrid_2l,331104,400,0.0024,0.0056,0.0017,0.0011,0.001,61.9174,7.4248,ok,0.56
hybrid_2l,331104,800,0.0024,0.0036,0.001,0.0019,0.0033,61.3238,6.5089,ok,1.1
hybrid_2l,331104,1600,0.0432,0.1197,0.0263,0.0172,0.0098,62.4117,6.236,ok,2.17
hybrid_4l,563712,200,0.002,0.0015,0.0019,0.0023,0.0024,60.3737,9.6164,ok,0.49
hybrid_4l,563712,400,0.0024,0.0036,0.0032,0.0018,0.0009,61.1404,7.7129,ok,0.89
hybrid_4l,563712,800,0.059,0.1317,0.0521,0.0329,0.0191,59.365,6.4132,ok,1.84
hybrid_4l,563712,1600,0.9983,0.9994,0.9986,0.9992,0.996,60.8468,0.0068,ok,3.54
