arch,n_params,n_train_steps,train_mode,auc,max_gap_acc,min_gap_acc,acc_4,acc_8,acc_16,acc_32,acc_64,last_loss,status,elapsed_s
attn_1l,210336,50,mixed,0.006,0.02,0.0,0.0,0.01,0.0,0.02,0.0,18.5107,ok,0.09
attn_1l,210336,100,mixed,0.003,0.005,0.0,0.005,0.0,0.005,0.0,0.005,8.4163,ok,0.16
attn_1l,210336,150,mixed,0.016,0.03,0.01,0.02,0.01,0.01,0.01,0.03,8.3439,ok,0.22
attn_1l,210336,200,mixed,0.031,0.05,0.02,0.035,0.05,0.02,0.03,0.02,5.6024,ok,0.28
attn_1l,210336,300,mixed,0.881,0.925,0.84,0.895,0.895,0.85,0.84,0.925,0.3286,ok,0.42
attn_1l,210336,400,mixed,0.991,1.0,0.975,1.0,0.995,0.99,0.995,0.975,0.0068,ok,0.56
attn_1l,210336,600,mixed,0.998,1.0,0.995,1.0,1.0,0.995,1.0,0.995,0.0001,ok,0.77
attn_1l,210336,800,mixed,0.999,1.0,0.995,1.0,0.995,1.0,1.0,1.0,0.0,ok,1.09
attn_1l,210336,1200,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,ok,1.62
attn_1l,210336,1600,mixed,0.998,1.0,0.995,1.0,1.0,0.995,1.0,0.995,0.0,ok,2.13
attn_1l,210336,2400,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ok,3.21
attn_2l,322176,50,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.005,10.4919,ok,0.12
attn_2l,322176,100,mixed,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,7.3704,ok,0.21
attn_2l,322176,150,mixed,0.006,0.015,0.0,0.015,0.0,0.005,0.005,0.005,8.1197,ok,0.31
attn_2l,322176,200,mixed,0.009,0.015,0.0,0.015,0.015,0.0,0.0,0.015,5.3798,ok,0.39
attn_2l,322176,300,mixed,0.887,0.92,0.845,0.875,0.89,0.845,0.92,0.905,0.4349,ok,0.58
attn_2l,322176,400,mixed,0.991,1.0,0.985,0.985,0.985,0.99,0.995,1.0,0.0089,ok,0.78
attn_2l,322176,600,mixed,0.998,1.0,0.995,1.0,0.995,0.995,1.0,1.0,0.0024,ok,1.13
attn_2l,322176,800,mixed,0.999,1.0,0.995,1.0,0.995,1.0,1.0,1.0,0.0001,ok,1.54
attn_2l,322176,1200,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ok,2.25
