arch,family,seed,auc,elapsed_s,status
attn_1l,attention,11,0.966,2.83,ok
attn_1l,attention,23,0.9711,2.96,ok
attn_1l,attention,47,0.9819,2.97,ok
attn_1l,attention,89,0.967,2.93,ok
attn_1l,attention,131,0.972,2.92,ok
attn_2l,attention,11,0.9929,4.23,ok
attn_2l,attention,23,0.005,4.3,ok
attn_2l,attention,47,0.9947,4.23,ok
attn_2l,attention,89,0.995,4.26,ok
attn_2l,attention,131,0.9939,4.26,ok
attn_4l,attention,11,0.994,7.05,ok
attn_4l,attention,23,0.9933,6.86,ok
attn_4l,attention,47,0.9954,6.9,ok
attn_4l,attention,89,0.9939,6.87,ok
attn_4l,attention,131,0.994,7.11,ok
conv3_2l,conv,11,0.0073,2.63,ok
conv3_2l,conv,23,0.0054,2.71,ok
conv3_2l,conv,47,0.0038,2.62,ok
conv3_2l,conv,89,0.003,2.71,ok
conv3_2l,conv,131,0.005,2.61,ok
conv7_2l,conv,11,0.456,2.62,ok
conv7_2l,conv,23,0.4502,2.61,ok
conv7_2l,conv,47,0.4429,2.52,ok
conv7_2l,conv,89,0.4509,2.55,ok
conv7_2l,conv,131,0.4391,2.6,ok
conv7_4l,conv,11,0.7109,3.92,ok
conv7_4l,conv,23,0.716,3.95,ok
conv7_4l,conv,47,0.7087,3.89,ok
conv7_4l,conv,89,0.7129,3.89,ok
conv7_4l,conv,131,0.7149,3.96,ok
ssm_2l,ssm,11,0.0027,133.97,ok
ssm_2l,ssm,23,0.0037,130.3,ok
ssm_2l,ssm,47,0.0018,129.04,ok
ssm_2l,ssm,89,0.0023,130.4,ok
ssm_2l,ssm,131,0.0023,127.78,ok
ssm_4l,ssm,11,0.0026,280.42,ok
ssm_4l,ssm,23,0.0019,272.71,ok
ssm_4l,ssm,47,0.0024,267.96,ok
ssm_4l,ssm,89,0.003,266.89,ok
ssm_4l,ssm,131,0.0013,263.83,ok
rwkv_2l,rwkv,11,0.0005,93.04,ok
rwkv_2l,rwkv,23,0.0021,93.65,ok
rwkv_2l,rwkv,47,0.0011,95.0,ok
rwkv_2l,rwkv,89,0.0011,95.04,ok
rwkv_2l,rwkv,131,0.0032,94.55,ok
hybrid_2l,hybrid,11,0.9942,3.49,ok
hybrid_2l,hybrid,23,0.9947,3.45,ok
hybrid_2l,hybrid,47,0.9635,3.57,ok
hybrid_2l,hybrid,89,0.9987,3.5,ok
hybrid_2l,hybrid,131,0.998,3.56,ok
hybrid_4l,hybrid,11,0.9994,5.56,ok
hybrid_4l,hybrid,23,0.9994,5.5,ok
hybrid_4l,hybrid,47,0.9996,5.53,ok
hybrid_4l,hybrid,89,0.9997,5.63,ok
hybrid_4l,hybrid,131,0.9996,5.52,ok
